Training Error,Testing Error
1993.916154,1993.916154
1629.426329,2712.607195
1548.772552,2499.412665
1505.397395,2402.908591
1475.249086,2331.48245
1450.530135,2272.140011
1427.445578,2219.176067
1404.151286,2162.061594
1380.491483,2107.669787
1357.069709,2062.089099
1332.954605,2020.485763
1208.925562,1987.15089
1052.015587,1558.612067
922.376208,1261.526449
847.886548,1063.000548
787.925931,956.17767
769.482591,933.733498
755.353707,924.200811
732.599532,886.7979
722.235894,888.82897
711.039335,859.585496
695.122207,893.289619
696.545129,853.347702
675.403755,858.60194
679.488232,852.414995
657.988909,828.49493
663.435265,900.02926
645.871398,818.782915
646.926044,838.937606
632.138123,823.568931
645.79906,829.744176
651.314582,880.177364
644.944943,832.096945
629.446396,819.495682
639.375979,816.2832
633.699388,835.617374
625.518365,808.980767
654.85406,793.917162
628.583848,805.337779
626.812994,794.455775
607.470618,777.800928
605.603493,785.885995
606.946325,773.718999
623.217173,865.965097
594.324208,762.069803
597.191207,766.960125
601.488298,762.432021
595.908876,765.681907
596.206818,750.655009
583.217867,762.468542
587.192751,753.949996
591.978841,764.039165
594.380917,764.177124
585.349297,767.548601
578.784842,795.659594
589.876163,761.086403
585.646144,748.732976
587.674354,741.680939
574.12167,742.218453
564.763824,730.313514
585.390737,753.470915
569.216424,725.519124
559.508278,722.25242
575.87327,735.731042
599.710794,835.839837
568.173633,742.939293
558.135874,777.467261
546.408438,707.663453
560.984296,751.550188
554.170638,721.035878
556.039762,691.143428
561.189375,724.650257
547.618159,730.805644
533.562074,716.541977
566.82388,714.755432
549.240123,761.082457
543.152177,705.634516
547.107877,736.840964
540.212744,715.255683
545.706824,713.947913
559.081766,738.139571
543.366556,765.248569
523.433437,743.854456
544.773184,734.25387
534.900259,759.53825
554.761519,735.503297
548.259222,712.704565
514.332143,758.265683
540.681755,725.954386
538.46838,742.840216
523.668831,709.609315
509.657709,699.588876
527.760099,757.010019
519.837867,700.987011
508.380318,728.573426
525.616296,698.348414
490.769045,691.60988
521.351372,705.293972
502.251719,697.009665
520.449697,712.340026
508.046454,712.49059
511.53009,726.475309
542.964518,700.451568
509.500243,712.753907
508.862247,726.606782
516.187688,693.182471
496.881107,731.825738
513.48097,688.463362
517.209248,691.821363
503.304378,701.569571
495.095503,688.129683
500.911617,686.898176
483.767056,694.438495
524.747544,686.919285
486.973417,695.092443
518.306063,691.442861
520.465291,698.427398
534.140874,757.903625
510.508545,684.300368
498.365936,711.876122
508.329477,722.069314
515.230751,717.91822
497.345163,681.009429
506.522608,680.610382
495.302786,685.212113
504.264728,696.673754
507.144297,684.303971
513.867662,696.733377
490.878521,715.352779
505.202533,683.720335
495.568031,702.590408
485.777514,702.894927
505.190291,684.270732
505.227486,684.441446
512.295322,689.438945
484.386132,692.779338
497.024638,689.343321
497.55236,680.315069
501.750041,686.287808
499.451475,727.086226
488.076934,692.754532
480.770466,675.106858
489.266046,690.685357
486.678295,696.289465
495.142358,689.378265
488.300734,682.067109
510.161952,677.222482
482.124661,675.66293
491.379041,677.176565
496.928946,692.27759
493.624677,662.369732
478.957907,685.576556
481.026671,671.375341
479.970298,678.674884
474.862671,680.257214
483.823648,709.704281
478.781519,674.773845
471.652691,682.312247
497.939933,684.559905
480.468492,668.799701
488.477859,685.211188
471.684609,673.669526
488.996217,713.311109
486.954828,698.324809
486.768893,673.452867
490.42031,708.23032
483.193568,724.70832
465.500182,678.985686
491.706035,704.490704
473.764551,709.579353
493.863961,691.052603
505.532972,704.177878
492.967589,679.539135
480.429433,677.447383
491.928116,674.537543
480.130301,699.047547
510.08263,718.013766
500.333417,720.641573
476.318048,690.279572
491.662834,662.948588
547.583049,691.354631
513.132401,721.780244
520.305592,726.509083
505.312345,700.458745
496.330322,718.953655
482.006527,682.268116
526.160388,686.756415
492.325457,684.757571
483.023357,701.028564
468.517578,681.743676
472.42235,688.968555
519.419814,699.778302
506.033879,744.195571
499.476342,704.074844
496.327357,673.432366
494.873777,739.173971
485.591032,710.602873
484.799778,650.962025
474.610974,696.820996
466.314221,660.625574
466.341313,677.431165
471.217239,709.797256
479.500963,682.744464
473.443303,660.235995
486.623399,677.009878
469.697388,682.042809
461.542385,721.448027
470.794268,659.145723
478.273975,706.802314
503.625166,747.960737
490.43994,678.935706
